S. No,url,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label)
116,cicicicekcilik.com,ICICI Bank,Phishing
117,ulicicibop.cf,ICICI Bank,Phishing
118,bicici.ml,ICICI Bank,Phishing
119,dicicip.com/,ICICI Bank,Phishing
120,iturcicici.ml,ICICI Bank,Phishing
121,micici.cn,ICICI Bank,Phishing
122,avicicirean.com,ICICI Bank,Phishing
123,icicivcs.co.in,ICICI Bank,Phishing
124,icici.banklocationmaps.com,ICICI Bank,Phishing
125,clicicililmardi.tk,ICICI Bank,Phishing
126,kirazbicici.com,ICICI Bank,Phishing
127,antitoxicicity.com,ICICI Bank,Phishing
128,tricicidsi.cf,ICICI Bank,Phishing
129,cicici.cz,ICICI Bank,Phishing
130,didicici.com,ICICI Bank,Phishing
131,biciciti.es,ICICI Bank,Phishing
132,lechicicingcookie.com,ICICI Bank,Phishing
133,icicinstitute.in,ICICI Bank,Phishing
134,apps.cicink.com,ICICI Bank,Phishing
135,icicicareers.co.ca,ICICI Bank,Phishing
136,cicicicici.com,ICICI Bank,Phishing
137,ipartnerext.cicilombard.com,ICICI Bank,Phishing
138,icicibank.com.mcas-gov.ms,ICICI Bank,Phishing
139,icicibankltd.com.admin-mcas-gov.ms,ICICI Bank,Phishing
140,icicibankltd.com.mcas-gov.ms,ICICI Bank,Phishing
141,icicidirect.com.admin-mcas-gov.ms,ICICI Bank,Phishing
142,icicidirect.com.mcas-gov.ms,ICICI Bank,Phishing
143,icicifoundation-connect.org,ICICI Bank,Phishing
144,icici.autonetic.com,ICICI Bank,Phishing
145,icici.sreeannaijewels.in,ICICI Bank,Phishing
146,icici.trademantri.in,ICICI Bank,Phishing
147,bk.icicibank.top,ICICI Bank,Phishing
148,es.icicibank.cn,ICICI Bank,Phishing
149,icicilombardhealthcare.com,ICICI Bank,Phishing
150,app.icicibank.top,ICICI Bank,Phishing
151,icici.ezcred.in,ICICI Bank,Phishing
152,icicibank.customlinks.appsflyer.com,ICICI Bank,Phishing
153,icicibank.ru,ICICI Bank,Phishing
154,icicihfc.ph,ICICI Bank,Phishing
155,icicihfc.vg,ICICI Bank,Phishing
156,icicihfc.watches,ICICI Bank,Phishing
157,icicici.in,ICICI Bank,Phishing
158,cicici.co,ICICI Bank,Phishing
159,cicici.site,ICICI Bank,Phishing
160,chicicity.co.uk,ICICI Bank,Phishing
161,tricicinexpo.tk,ICICI Bank,Phishing
162,ww1.cictbank.com,ICICI Bank,Phishing
163,iciciland.com,ICICI Bank,Phishing
164,yicici.space,ICICI Bank,Phishing
165,wiicicir.gq,ICICI Bank,Phishing
166,ucicicillf.ga,ICICI Bank,Phishing
167,ricici.cn,ICICI Bank,Phishing
168,cicici.com,ICICI Bank,Phishing
169,viciciv.com,ICICI Bank,Phishing
170,icici.ru,ICICI Bank,Phishing
171,icicihizins.de,ICICI Bank,Phishing
172,dodicicicli.it,ICICI Bank,Phishing
173,icicine.cm,ICICI Bank,Phishing
174,uzdrowiciciel.pl,ICICI Bank,Phishing
175,apiicici.com,ICICI Bank,Phishing
176,bibicici.it,ICICI Bank,Phishing
177,icicisapawixa.gq,ICICI Bank,Phishing
178,ixacicicig.ga,ICICI Bank,Phishing
179,lelicicisi.tk,ICICI Bank,Phishing
180,lycicicimivi.cf,ICICI Bank,Phishing
181,micicixasilaje.cf,ICICI Bank,Phishing
182,bicici.eu,ICICI Bank,Phishing
183,picici.ro,ICICI Bank,Phishing
184,adicicisig.gq,ICICI Bank,Phishing
185,chicicitira.monster,ICICI Bank,Phishing
186,cicicircular.eu,ICICI Bank,Phishing
187,dicici.ml,ICICI Bank,Phishing
188,ficicilar.com.tr,ICICI Bank,Phishing
189,kikicici.com,ICICI Bank,Phishing
190,itumicicitnan.cf,ICICI Bank,Phishing
191,riciciu.ml,ICICI Bank,Phishing
192,jicicidu.cf,ICICI Bank,Phishing
193,apiliciviciciki.cf,ICICI Bank,Phishing
194,ijicicipylid.ga,ICICI Bank,Phishing
195,sicicilsym.gq,ICICI Bank,Phishing
196,zicici.ml,ICICI Bank,Phishing
197,bybiciciniqa.ga,ICICI Bank,Phishing
198,quicicisoun.tk,ICICI Bank,Phishing
199,geltticicilwi.tk,ICICI Bank,Phishing
200,clicicictan.ml,ICICI Bank,Phishing
201,zekicici.com,ICICI Bank,Phishing
202,medicicircle.com,ICICI Bank,Phishing
203,bilalbicici.com.tr,ICICI Bank,Phishing
204,clicici.ca,ICICI Bank,Phishing
205,bicicleta-lujo.com,ICICI Bank,Phishing
206,bicicletas.xyz,ICICI Bank,Phishing
207,ns1.ciclope.net,ICICI Bank,Phishing
208,ilciciftligi.com.tr,ICICI Bank,Phishing
209,minicici.cn,ICICI Bank,Phishing
210,icicin.gq,ICICI Bank,Phishing
211,atproficicicna.tk,ICICI Bank,Phishing
212,ticici.cf,ICICI Bank,Phishing
213,ciccciciciccicicccii.ga,ICICI Bank,Phishing
214,cicicicicici.com,ICICI Bank,Phishing
215,icicledid.com,ICICI Bank,Phishing
216,miciclo.com,ICICI Bank,Phishing
217,tipici.club,ICICI Bank,Phishing
218,i-cicle.com,ICICI Bank,Phishing
219,ns01.bicicletasuperprestigio.com,ICICI Bank,Phishing
220,ns02.bicicletesportocolom.com,ICICI Bank,Phishing
221,ns01.ciclosteo.com,ICICI Bank,Phishing
222,bicicletasushuaia.com,ICICI Bank,Phishing
223,ns01.bicicletastribiker.com,ICICI Bank,Phishing
224,ns01.bicicletasmundopedal.com,ICICI Bank,Phishing
225,biciclasificados.com,ICICI Bank,Phishing
226,ns01.bicicletastope.com,ICICI Bank,Phishing
227,bicicletachopper.com,ICICI Bank,Phishing
228,lcicllc.com,ICICI Bank,Phishing
229,bicicletasbosqueysalud.com,ICICI Bank,Phishing
230,aicici.cn,ICICI Bank,Phishing
231,uicici.com,ICICI Bank,Phishing
232,labicicleta.co.uk,ICICI Bank,Phishing
233,bicicleta-electrica-usada.store,ICICI Bank,Phishing
234,bicicletas-electricas.online,ICICI Bank,Phishing
235,bicicleta-electrica-segunda-mano.online,ICICI Bank,Phishing
236,bicicims.com,ICICI Bank,Phishing
237,riciclidea.org,ICICI Bank,Phishing
238,cixibank.cn,ICICI Bank,Phishing
239,cicicici.org,ICICI Bank,Phishing
240,cicici.org,ICICI Bank,Phishing
241,ezgificici.com,ICICI Bank,Phishing
242,bicici.gen.tr,ICICI Bank,Phishing
243,ciciba.info,ICICI Bank,Phishing
244,cicifosilcici.shop,ICICI Bank,Phishing
245,ciibank.pl,ICICI Bank,Phishing
246,jicici.com,ICICI Bank,Phishing
247,micici.fr,ICICI Bank,Phishing
248,dicici.com,ICICI Bank,Phishing
249,cicici.store,ICICI Bank,Phishing
250,micicipi.com,ICICI Bank,Phishing
251,micicipii.com,ICICI Bank,Phishing
252,yenigibicici.com,ICICI Bank,Phishing
253,kiciciap.shop,ICICI Bank,Phishing
254,yenigibicici.xyz,ICICI Bank,Phishing
255,bnpparibasbicici.com,ICICI Bank,Phishing
256,icicipi.top,ICICI Bank,Phishing
257,makasicici.com,ICICI Bank,Phishing
258,cicici.id,ICICI Bank,Phishing
259,mimicicicaketng.com,ICICI Bank,Phishing
260,tistdetelicici.tk,ICICI Bank,Phishing
261,falicici.online,ICICI Bank,Phishing
262,undiciclo.com,ICICI Bank,Phishing
263,iciclestraw.com,ICICI Bank,Phishing
264,riciclamente.com,ICICI Bank,Phishing
265,gokcebicici.com,ICICI Bank,Phishing
266,iciciea.com,ICICI Bank,Phishing
267,bicici.online,ICICI Bank,Phishing
268,bicici.net,ICICI Bank,Phishing
269,aicicia.se,ICICI Bank,Phishing
270,aicicia.com,ICICI Bank,Phishing
271,aicicia.art,ICICI Bank,Phishing
272,juicici.campsite.bio,ICICI Bank,Phishing
273,uwicicis.myhostpoint.ch,ICICI Bank,Phishing
274,aicicicici.repl.co,ICICI Bank,Phishing
275,citicicifulworl.tk,ICICI Bank,Phishing
276,hepsicici.com.polkaconnect.com,ICICI Bank,Phishing
277,spiciciden.ga,ICICI Bank,Phishing
278,otticicio.com,ICICI Bank,Phishing
279,icbank.net,ICICI Bank,Phishing
280,cibcbank.net,ICICI Bank,Phishing
281,artebicicitytours.com,ICICI Bank,Phishing
282,versdicici.gq,ICICI Bank,Phishing
283,simplicicity.de,ICICI Bank,Phishing
284,arcticicicles.com,ICICI Bank,Phishing
285,juicici.store,ICICI Bank,Phishing
286,tunaicicilan.com,ICICI Bank,Phishing
287,nesibebicici.com,ICICI Bank,Phishing
288,prodottitipiciciociari.it,ICICI Bank,Phishing
289,ticicity.com,ICICI Bank,Phishing
290,omicicintufar.tk,ICICI Bank,Phishing
291,dicic.link,ICICI Bank,Phishing
292,bicicletaspara.info,ICICI Bank,Phishing
293,lokvicici.hippocamp.eu,ICICI Bank,Phishing
294,tranaficicil.tk,ICICI Bank,Phishing
295,8maysite2-ozficici.me,ICICI Bank,Phishing
296,mimicicicake.com,ICICI Bank,Phishing
297,mimicicicake.com.kueulangtahunbogor.com,ICICI Bank,Phishing
298,cicicircular.com,ICICI Bank,Phishing
299,licicis.com,ICICI Bank,Phishing
300,onariciciftci.com,ICICI Bank,Phishing
301,meokicicit.tk,ICICI Bank,Phishing
302,quicicidi.cf,ICICI Bank,Phishing
303,iciciconverse.byteprophecy.accenture.com,ICICI Bank,Phishing
304,ww01.citibank.com.in,ICICI Bank,Phishing
305,micicipi.ir,ICICI Bank,Phishing
306,custmail.icicibank.com.mcas.ms,ICICI Bank,Phishing
307,cvicicizralok.com,ICICI Bank,Phishing
308,iciciacs.com,ICICI Bank,Phishing
309,autoconfig.ciciprulife.com/,ICICI Bank,Phishing
310,cicicity.com,ICICI Bank,Phishing
311,firstdataicici.magecomp.org,ICICI Bank,Phishing
312,bankicici.wuaze.com/?i=1,ICICI Bank,Phishing
313,blicicil.app,ICICI Bank,Phishing
314,yurticicicekcilik.online,ICICI Bank,Phishing
315,drvelicicimen.com,ICICI Bank,Phishing
316,argold-icici.aerele.in,ICICI Bank,Phishing
317,icicibudgeting.magitt.com,ICICI Bank,Phishing
318,nesibebiciciart.com,ICICI Bank,Phishing
319,icici-lombardhelpdocs.cogdam.com,ICICI Bank,Phishing
320,yurticicicekcilik.com,ICICI Bank,Phishing
321,icbank.cc,ICICI Bank,Phishing
322,themusicicityaccball.org,ICICI Bank,Phishing
323,ww01.cidibank.com,ICICI Bank,Phishing
324,uaticici.aalroot.com,ICICI Bank,Phishing
325,umanerficicin.tk,ICICI Bank,Phishing
326,dicici.net,ICICI Bank,Phishing
327,cicici.vip,ICICI Bank,Phishing
328,ccbank.online,ICICI Bank,Phishing
329,vaicicigroup.net,ICICI Bank,Phishing
330,centriacusticicisento.it,ICICI Bank,Phishing
331,dev-icici.pantheonsite.io/,ICICI Bank,Phishing
332,infinity.icicibank.com.mcas.ms/,ICICI Bank,Phishing
333,biciciotomotivkonya.com,ICICI Bank,Phishing
334,icici.creditmonitor.info,ICICI Bank,Phishing
335,icici.bank.co.in/,ICICI Bank,Phishing
336,ricici.com,ICICI Bank,Phishing
337,janicici.com,ICICI Bank,Phishing
338,dodicicilindri.com,ICICI Bank,Phishing
339,idicicihe.shop,ICICI Bank,Phishing
340,jidicicicixidiiddi.one,ICICI Bank,Phishing
341,quizsilver.com/icici-bank-pay-direct-card-customer-care-number,ICICI Bank,Phishing
342,uicicifmre.ewefvo.homes,ICICI Bank,Phishing
343,icici.sworks.co.in,ICICI Bank,Phishing
344,weicicizhuan.com,ICICI Bank,Phishing
345,pipicici.com,ICICI Bank,Phishing
346,oembrand.com/icici-bank-i-safe-application,ICICI Bank,Phishing
347,icicis.cis.asu.edu.eg,ICICI Bank,Phishing
348,dicicilaja.info,ICICI Bank,Phishing
349,cicici.altervista.org,ICICI Bank,Phishing
350,mimicici-qc.direct.quickconnect.to,ICICI Bank,Phishing
351,lvicicira.shop,ICICI Bank,Phishing
352,shicici.com,ICICI Bank,Phishing
353,bodhicici.com,ICICI Bank,Phishing
354,aicicill.com,ICICI Bank,Phishing
355,xicici.cn,ICICI Bank,Phishing
356,klicici.com,ICICI Bank,Phishing
357,bicicihukuk.com,ICICI Bank,Phishing
358,eticicibebe.com,ICICI Bank,Phishing
359,cicicil.sbs,ICICI Bank,Phishing
360,iciciyvao.shop,ICICI Bank,Phishing
361,mybicici.com,ICICI Bank,Phishing
362,apartmenticici.com,ICICI Bank,Phishing
363,leoagarbatti.icicirud.com,ICICI Bank,Phishing
364,micicipi.ruk.eug.store.mx0.edushophk.com,ICICI Bank,Phishing
365,ficicioglu.de,ICICI Bank,Phishing
366,denicici.direct.quickconnect.to,ICICI Bank,Phishing
367,dramaiciciari.com,ICICI Bank,Phishing
368,credit-auto-bicici.com,ICICI Bank,Phishing
369,lokvicici.iptvsmart.eu,ICICI Bank,Phishing
370,micicipi.top,ICICI Bank,Phishing
371,de.xixizizicici.store,ICICI Bank,Phishing
372,chickibank.au,ICICI Bank,Phishing
373,democraticicivici.it,ICICI Bank,Phishing
374,nam.simntit.nicici.adata.in,ICICI Bank,Phishing
375,polatbicici.com,ICICI Bank,Phishing
376,polatbicici.online,ICICI Bank,Phishing
377,polatbicici.xyz,ICICI Bank,Phishing
378,kwikid.kyc.priv.icici.getkwikid.com,ICICI Bank,Phishing
379,ycfguneskiricicit.com,ICICI Bank,Phishing
380,cicicici.direct.quickconnect.to,ICICI Bank,Phishing
381,bicici.croatia.topdestination.it,ICICI Bank,Phishing
382,icicrts.in/,ICICI Bank,Phishing
383,geciktiricici.palgat.com,ICICI Bank,Phishing
384,daodaocicicishang2866.top,ICICI Bank,Phishing
385,gameicicie.com,ICICI Bank,Phishing
386,iddia-bicici-be.arolitec.com,ICICI Bank,Phishing
387,wicicio1.pro,ICICI Bank,Phishing
388,icbcbank.ru,ICICI Bank,Phishing
389,cacibank.com,ICICI Bank,Phishing
390,bicicimum.com.tr,ICICI Bank,Phishing
391,zicicip-157-89.df.gov.br,ICICI Bank,Phishing
392,lokvicici.travellove.eu,ICICI Bank,Phishing
393,bicici.croatia.topdestination.de,ICICI Bank,Phishing
394,suryaticici32.erwinnila123.my.id,ICICI Bank,Phishing
395,optifiiicicidev.betadelivery.com,ICICI Bank,Phishing
396,kiciciuchy.pl,ICICI Bank,Phishing
397,cibcbank.me,ICICI Bank,Phishing
398,icbcbank.top,ICICI Bank,Phishing
399,icicity.com,ICICI Bank,Phishing
400,my.micicipi.ru,ICICI Bank,Phishing
401,ciciciciciic.altervista.org,ICICI Bank,Phishing
402,imap.egicici.com,ICICI Bank,Phishing
403,bicicita.bitlen.com,ICICI Bank,Phishing
404,www.icichfc.com,ICICI Bank,Phishing
405,ww16.pujicicixu.suplikasro.cz,ICICI Bank,Phishing
406,labicicicletta.ch,ICICI Bank,Phishing
407,articicial-grass.click,ICICI Bank,Phishing
408,milicicity.forumh.net,ICICI Bank,Phishing
409,icicibankbizcircle.raovat9s.com,ICICI Bank,Phishing
410,delicici.com,ICICI Bank,Phishing
411,epicicious.com,ICICI Bank,Phishing
412,closdevicici.crm8.dynaics.com,ICICI Bank,Phishing
413,icicib.com.mintvalley.com,ICICI Bank,Phishing
414,licici.cn,ICICI Bank,Phishing
415,portal.cicidirect.com,ICICI Bank,Phishing
416,icbcbank.com.cn,ICICI Bank,Phishing
417,bicicita.greenhub.es,ICICI Bank,Phishing
418,ilicicimpiesnertz.online,ICICI Bank,Phishing
419,ecanivicici.arab-spam.com,ICICI Bank,Phishing
420,mimicici-qc.direct.quickconnect.cn,ICICI Bank,Phishing
421,la.dicicion.mia.es,ICICI Bank,Phishing
422,mengzhicici.5ddd.com,ICICI Bank,Phishing
423,a.mx.icicibank.in,ICICI Bank,Phishing
424,uaticicifadminapi.mgrant.in,ICICI Bank,Phishing
425,miglioribicicitta.altervista.org,ICICI Bank,Phishing
426,caricicijitu.store,ICICI Bank,Phishing
427,caricicijitu.xyz,ICICI Bank,Phishing
428,spicicisma.com,ICICI Bank,Phishing
429,icici-tourism.com,ICICI Bank,Phishing
430,crmapi.icicirise.com,ICICI Bank,Phishing
431,dodicicinque.com,ICICI Bank,Phishing
432,pejuangjpgacor.vip.prediksicici.xyz,ICICI Bank,Phishing
433,icici-ecollect-prod.flamingotravels.co.in,ICICI Bank,Phishing
434,lokvicici.hr,ICICI Bank,Phishing
435,cicici.ggff.net,ICICI Bank,Phishing
436,bogazicicimento.com,ICICI Bank,Phishing
437,plasticicicles.com,ICICI Bank,Phishing
438,ld-icici.toss4u.com,ICICI Bank,Phishing
439,ficicilar.com,ICICI Bank,Phishing
440,icicipointin.sbs/I,ICICI Bank,Phishing
441,alicici.cn,ICICI Bank,Phishing
442,biciciclismo.com,ICICI Bank,Phishing
443,icicirtgsbcob.bhagyodayabank.com,ICICI Bank,Phishing
444,pinarficici.xyz,ICICI Bank,Phishing
445,iciciapi.lyra-network.in,ICICI Bank,Phishing
446,pinarficici.com.tr,ICICI Bank,Phishing
447,chuaicici.cn,ICICI Bank,Phishing
448,bogaziciciftlik.com,ICICI Bank,Phishing
449,onicici.info,ICICI Bank,Phishing
450,viveplata.com.huicicilagold.com,ICICI Bank,Phishing
451,cicicici.synology.me,ICICI Bank,Phishing
452,icicic.carreers.com,ICICI Bank,Phishing
453,poshn-icici-uat-stage.poshn.app,ICICI Bank,Phishing
454,icicivd.xyzb.netww.22fd810e.nip.io,ICICI Bank,Phishing
455,bicicinet.gslb-off.wealthmanagement.cz,ICICI Bank,Phishing
456,testicicipg.store,ICICI Bank,Phishing
457,bicici.bmm.in,ICICI Bank,Phishing
458,icicimov.rents.ws,ICICI Bank,Phishing
459,ww25.icici.myclassbord.com,ICICI Bank,Phishing
460,cicici.dpdns.org,ICICI Bank,Phishing
461,ozficici.com,ICICI Bank,Phishing
462,picicipo.hu,ICICI Bank,Phishing
463,jogroun-0.weicici.net,ICICI Bank,Phishing
464,aricicichi.direct.quickconnect.to,ICICI Bank,Phishing
465,aricicichi.synology.me,ICICI Bank,Phishing
466,bmwicici.de,ICICI Bank,Phishing
467,icicic.jp,ICICI Bank,Phishing
468,lericicittacreativa.it,ICICI Bank,Phishing
469,gjergjicici.johndoegroup.de,ICICI Bank,Phishing
470,cicici.vskkl.com,ICICI Bank,Phishing
471,cicicilento.de,ICICI Bank,Phishing
472,ivanlovricici.us1.hostry.host,ICICI Bank,Phishing
473,www.iciuser.co.in/,ICICI Bank,Phishing
474,kikicici.cn,ICICI Bank,Phishing
475,notexistsicici.careeers.com,ICICI Bank,Phishing
476,omerbicici.direct.quickconnect.to,ICICI Bank,Phishing
477,rusticiciclecows.mylearndash.com,ICICI Bank,Phishing
478,isidicici.store,ICICI Bank,Phishing
479,aicicinnovative.com,ICICI Bank,Phishing
480,ww1.ciitbank.com,ICICI Bank,Phishing
481,picicicik.startporno.hu,ICICI Bank,Phishing
482,giavicici.asia,ICICI Bank,Phishing
483,lfotpicicibank.coj.me,ICICI Bank,Phishing
484,ww1.ciitbank.co.in,ICICI Bank,Phishing
485,nicicita.ch,ICICI Bank,Phishing
486,pinfo.icici.grop.com,ICICI Bank,Phishing
487,uang-pangkal-bisa-dicicil.depressiond.com,ICICI Bank,Phishing
488,ticici.direct.quickconnect.to,ICICI Bank,Phishing
489,panificicialoni.it,ICICI Bank,Phishing
490,clicici.chateauduvice.com,ICICI Bank,Phishing
491,batuhanficici.com,ICICI Bank,Phishing
492,dicicipua.cdnapp.net,ICICI Bank,Phishing
493,console.icici.buildint.co,ICICI Bank,Phishing
494,levgreen.com.ua/icici/info.htm,ICICI Bank,Phishing
495,icicibanktitaniumcard.in,ICICI Bank,Phishing
496,myicicibank.in,ICICI Bank,Phishing
497,icicibankhomeloan.in,ICICI Bank,Phishing
498,hicicie.com,ICICI Bank,Phishing
499,icicibanksip.in,ICICI Bank,Phishing
500,icicicardoffer.info,ICICI Bank,Phishing
501,iciinnovations.org,ICICI Bank,Phishing
502,hvkn4feaq6ic1cihhbg80ncmghh58116.com,ICICI Bank,Phishing
503,icicta.com,ICICI Bank,Phishing
504,onicici.com,ICICI Bank,Phishing
505,icicibanking.org/,ICICI Bank,Phishing
506,lclclbank.ng,ICICI Bank,Phishing
507,icicapitalllc.com,ICICI Bank,Phishing
508,icic.bet,ICICI Bank,Phishing
509,www.sandbox-superset.iciciprulife.co/,ICICI Bank,Phishing
510,icicic.org,ICICI Bank,Phishing
511,icici-world.com,ICICI Bank,Phishing
512,icicipersonalloan.doodlekit.com,ICICI Bank,Phishing
513,safimoneytransfer.com,ICICI Bank,Phishing
514,57e0d8d2686c.mail.iciciprulife.co/,ICICI Bank,Phishing
515,iciciloans.com,ICICI Bank,Phishing
516,iciciconcepts.com,ICICI Bank,Phishing
517,icicbet.com,ICICI Bank,Phishing
518,icicisecurities.vip,ICICI Bank,Phishing
519,icici-investment.com,ICICI Bank,Phishing
520,selma-bicici.net,ICICI Bank,Phishing
521,selma-bicici.com,ICICI Bank,Phishing
522,dolmetscher-bicici.com,ICICI Bank,Phishing
523,ccicicilod.com,ICICI Bank,Phishing
524,cicicicicici.cn,ICICI Bank,Phishing
525,icicilbank.sbs,ICICI Bank,Phishing
526,icicillbank.cc,ICICI Bank,Phishing
527,icicibanlk.com,ICICI Bank,Phishing
528,aaadvantage.io,ICICI Bank,Phishing
529,scifidubai.com,ICICI Bank,Phishing
530,iiainfotech.com,ICICI Bank,Phishing
531,rcipromotions.com,ICICI Bank,Phishing
